item_key,item,archetype,title,license,creator,source,page,image_url,approve
big-breakfast,Big Breakfast,plated-meal,McDonald's Big Breakfast,by,Ruocaled,flickr,https://www.flickr.com/photos/54063325@N07/6451107107,https://live.staticflickr.com/7146/6451107107_69cb4e22c9_b.jpg,
big-breakfast,Big Breakfast,plated-meal,"Breakfast experiment. That's a McDonald's Big Breakfast, with the bacon jam I go",by,Sancho Papa,flickr,https://www.flickr.com/photos/46097475@N00/6768126091,https://live.staticflickr.com/7144/6768126091_887e317f11.jpg,
big-breakfast,Big Breakfast,plated-meal,Good morning! McMorning! Have a nice weekend! #Fast #Food #McDonald's #Big #Brea,by,IchStyle,flickr,https://www.flickr.com/photos/66172503@N00/19786956885,https://live.staticflickr.com/307/19786956885_a41a22ac04_b.jpg,
big-breakfast,Big Breakfast,plated-meal,McDonalds Big Breakfast,by,coolmikeol,flickr,https://www.flickr.com/photos/44094498@N03/4844975894,https://live.staticflickr.com/4083/4844975894_284e9bee6a_b.jpg,
big-mac,Big Mac,cheeseburger,McDonalds-Big-Mac-Price-World-Map-2022,by-sa,CashNetUsa,wikimedia,https://commons.wikimedia.org/w/index.php?curid=130289780,https://upload.wikimedia.org/wikipedia/commons/e/e3/McDonalds-Big-Mac-Price-World-Map-2022.png,
big-mac,Big Mac,cheeseburger,McDonalds Big Mac hamburger cheeseburger,by-sa,Amin,wikimedia,https://commons.wikimedia.org/w/index.php?curid=68134065,https://upload.wikimedia.org/wikipedia/commons/7/70/McDonalds_Big_Mac_hamburger_cheeseburger.jpg,
big-mac,Big Mac,cheeseburger,McDonald’s Big Mac Set in Japan 2022.06.02,by-sa,はらまち,wikimedia,https://commons.wikimedia.org/w/index.php?curid=118631864,https://upload.wikimedia.org/wikipedia/commons/1/15/McDonald%E2%80%99s_Big_Mac_Set_in_Japan_2022.06.02.jpg,
big-mac,Big Mac,cheeseburger,McDonald's Big Mac (23083531891),by-sa,Willis Lam,wikimedia,https://commons.wikimedia.org/w/index.php?curid=78711941,https://upload.wikimedia.org/wikipedia/commons/6/60/McDonald%27s_Big_Mac_%2823083531891%29.jpg,
big-mac-sauce,Big Mac Sauce,cheeseburger,Square 40/52,by,Go-tea 郭天,flickr,https://www.flickr.com/photos/131814204@N04/33103049842,https://live.staticflickr.com/773/33103049842_9c775e4fd2_b.jpg,
big-mac-sauce,Big Mac Sauce,cheeseburger,The World's Best Big Mac?,pdm,comedy_nose,flickr,https://www.flickr.com/photos/23408922@N07/4365461671,https://live.staticflickr.com/4031/4365461671_47c1e0bcd5_b.jpg,
buttermilk-crispy-chicken-sandwich,Buttermilk Crispy Chicken Sandwich,chicken-sandwich,McDonald's Buttermilk Crispy Chicken Sandwich,by-sa,theimpulsivebuy,flickr,https://www.flickr.com/photos/27410581@N07/20322290744,https://live.staticflickr.com/603/20322290744_f777d87568.jpg,
